date,lat,lon,magnitude,depth,phrase,province
2021-12-07 16:50:48,19.274,98.461,2.4,1,25,ต.แม่ฮี้ อ.ปาย จ.แม่ฮ่องสอน
2021-12-07 16:19:15,19.278,98.462,2,2,20,ต.แม่ฮี้ อ.ปาย จ.แม่ฮ่องสอน
2021-10-18 09:00:20,19.744,99.636,3.5,3,22,ต.ดงมะดะ อ.แม่ลาว จ.เชียงราย
2021-10-18 02:18:14,18.062,99.518,2.5,5,14,ต.บ้านบอม อ.แม่ทะ จ.ลำปาง
2021-07-21 15:18:41,14.894,99.177,3.7,2,16,ต.เขาโจด อ.ศรีสวัสดิ์ จ.กาญจนบุรี
2021-07-12 03:40:25,19.692,99.719,2.3,1,14,อ.พาน จ.เชียงราย
2021-06-30 10:34:19,19.7,99.711,2.8,4,24,อ.พาน จ.เชียงราย
2021-06-17 23:30:46,19.253,99.622,3.5,1,19,อ.วังเหนือ จ.ลำปาง
2021-05-24 07:36:20,19.687,99.488,3,8,14,อ.แม่สรวย จ.เชียงราย
2021-03-21 18:38:34,18.159,97.993,2.1,2,21,อ.แม่สะเรียง จ.แม่ฮ่องสอน
2020-12-30 15:15:31,17.612,101.688,2.1,1,5,อ.เมืองเลย จ.เลย
2020-09-26 18:39:02,19.823,99.928,2.5,1,13,อ.เมืองเชียงราย จ.เชียงราย
2020-07-20 05:14:50,17.502,101.513,2.8,3,13,อ.เมืองเลย จ.เลย
2020-06-25 14:37:04,17.6,101.68,3.8,5,21,อ.เมืองเลย จ.เลย
2020-06-09 15:50:53,19.02,99.026,2.9,2,21,อ.สันทราย จ.เชียงใหม่
2020-05-17 17:08:38,19.753,99.803,1.8,1,17,อ.แม่ลาว จ.เชียงราย
2020-05-03 01:27:02,19.841,99.667,2.2,3,11,อ.เมืองเชียงราย จ.เชียงราย
2020-04-25 06:36:26,19.734,99.643,2.3,2,7,อ.แม่ลาว จ.เชียงราย
2020-02-06 11:10:32,11.46,99.41,2.8,3,10,อ.บางสะพาน จ.ประจวบคีรีขันธ์
2020-01-25 17:42:49,8.863,98.383,2.2,1,9,อ.ตะกั่วป่า จ.พังงา
2019-10-27 03:10:52,18.918,99.238,3.3,2,19,อ.ดอยสะเก็ด จ.เชียงใหม่
2019-10-18 14:46:25,18.904,99.252,4.1,6,35,อ.ดอยสะเก็ด จ.เชียงใหม่
2019-10-17 03:18:12,17.621,101.709,2.6,1,9,อ.เมืองเลย จ.เลย
2019-10-16 05:36:35,17.626,101.68,3.9,5,36,อ.เมืองเลย จ.เลย
2019-05-27 14:48:45,19.243,99.621,3,3,16,อ.วังเหนือ จ.ลำปาง
2019-04-22 21:40:23,19.794,99.268,2.8,4,16,อ.ฝาง จ.เชียงใหม่
2019-04-18 05:42:59,19.253,99.599,2.9,3,15,อ.วังเหนือ จ.ลำปาง
2019-03-15 13:35:14,19.68,99.68,3,15,10,อ.พาน จ.เชียงราย
2019-03-14 16:58:27,19.26,99.62,2.4,2,18,อ.วังเหนือ จ.ลำปาง
2019-03-14 14:55:19,19.25,99.63,4,2,44,อ.วังเหนือ จ.ลำปาง
2019-03-14 14:15:20,19.26,99.63,2.9,3,21,อ.วังเหนือ จ.ลำปาง
2019-03-13 17:04:39,19.25,99.62,4.2,2,47,อ.วังเหนือ จ.ลำปาง
2019-02-23 18:56:14,19.25,99.62,2.5,6,18,อ.วังเหนือ จ.ลำปาง
