province,district,sub-district,risk-landslide-village,risk-landslide-area
จ.เชียงใหม่,24,140,"1,492","15,840"
จ.ตาก,9,58,493,"10,512"
จ.แม่ฮ่องสอน,7,45,422,"10,401"
จ.น่าน,15,97,832,"8,586"
จ.กาญจนบุรี,13,72,326,"8,229"
จ.เชียงราย,18,116,"1,592","6,004"
จ.ลำปาง,13,87,664,"5,610"
จ.สุราษฎร์ธานี,19,97,721,"4,396"
จ.เลย,14,89,636,"3,860"
จ.เพชรบูรณ์,11,97,677,"3,520"
จ.อุตรดิตถ์,9,53,415,"3,279"
จ.แพร่,8,56,419,"3,087",
จ.ยะลา,8,57,342,"3,073"
จ.เพชรบุรี,7,41,148,"2,945"
จ.พิษณุโลก,7,41,297,"2,871"
จ.อุทัยธานี,8,44,158,"2,641"
จ.ชัยภูมิ,14,73,377,"2,603"
จ.นครราชสีมา,9,51,568,"2,580"
จ.ประจวบคีรีขันธ์,8,45,213,"2,543"
จ.พะเยา,9,58,374,"2,523"
จ.นครศรีธรรมราช,20,95,697,"2,414"
จ.ชุมพร,8,65,624,"2,244"
จ.ระนอง,5,30,179,"2,002"
จ.พังงา,8,48,273,"1,879"
จ.ลำพูน,8,33,342,"1,847"
จ.สงขลา,14,79,419,"1,733"
จ.นราธิวาส,11,58,253,"1,693"
จ.จันทบุรี,10,63,341,"1,441"
จ.กำแพงเพชร,6,31,103,"1,345"
จ.สุโขทัย,7,33,233,"1,288"
จ.ราชบุรี,7,36,181,"1,272"
จ.ตรัง,10,72,330,929
จ.ปราจีนบุรี,5,22,53,895
จ.สตูล,7,31,183,868
จ.อุบลราชธานี,11,39,181,743
จ.กระบี่,8,48,227,715
จ.สระแก้ว,9,37,89,653
จ.พัทลุง,11,40,313,639
จ.อุดรธานี,12,42,138,607
จ.ศรีสะเกษ,5,26,118,575
จ.ขอนแก่น,16,66,187,559
จ.นครสวรรค์,13,66,232,527
จ.นครนายก,3,10,60,477
จ.สระบุรี,9,44,268,469
จ.ตราด,7,31,123,442
จ.ระยอง,8,45,157,393
จ.สุพรรณบุรี,4,19,88,346
จ.ชลบุรี,9,46,141,305
จ.ลพบุรี,11,57,181,267
จ.หนองบัวลำภู,6,41,76,240
จ.หนองคาย,3,7,54,205
จ.ภูเก็ต,3,17,119,192
จ.ฉะเชิงเทรา,4,9,27,185
จ.ปัตตานี,9,42,159,183
